		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	1	1.00000	0.00000	0.00000
1	2	0.99976	0.00005	0.00000
1	3	0.99902	0.00019	0.00000
1	4	0.99780	0.00042	0.00000
1	5	0.99609	0.00074	0.00000
1	6	0.99389	0.00115	0.00000
1	7	0.99121	0.00165	0.00000
1	8	0.98805	0.00224	0.00000
1	9	0.98441	0.00291	0.00000
1	10	0.98030	0.00367	0.00000
1	11	0.97571	0.00451	0.00000
1	12	0.97066	0.00543	0.00000
1	13	0.96515	0.00642	0.00000
1	14	0.95918	0.00749	0.00000
1	15	0.95276	0.00863	0.00000
1	16	0.94589	0.00983	0.00000
1	17	0.93858	0.01110	0.00000
1	18	0.93085	0.01243	0.00000
1	19	0.92268	0.01381	0.00000
1	20	0.91411	0.01525	0.00000
1	21	0.90512	0.01674	0.00000
1	22	0.89573	0.01827	0.00000
1	23	0.88595	0.01984	0.00000
1	24	0.87579	0.02144	0.00000
1	25	0.86526	0.02308	0.00000
1	26	0.85437	0.02475	0.00000
1	27	0.84312	0.02644	0.00000
1	28	0.83154	0.02815	0.00000
1	29	0.81963	0.02988	0.00000
1	30	0.80739	0.03162	0.00000
1	31	0.79486	0.03336	0.00000
1	32	0.78202	0.03511	0.00000
1	33	0.76891	0.03686	0.00000
1	34	0.75553	0.03860	0.00000
1	35	0.74189	0.04033	0.00000
1	36	0.72801	0.04205	0.00000
1	37	0.71390	0.04375	0.00000
1	38	0.69958	0.04543	0.00000
1	39	0.68506	0.04708	0.00000
1	40	0.67035	0.04870	0.00000
1	41	0.65547	0.05029	0.00000
1	42	0.64043	0.05184	0.00000
1	43	0.62525	0.05335	0.00000
1	44	0.60994	0.05482	0.00000
1	45	0.59452	0.05623	0.00000
1	46	0.57900	0.05760	0.00000
1	47	0.56340	0.05890	0.00000
1	48	0.54773	0.06015	0.00000
1	49	0.53201	0.06133	0.00000
1	50	0.51626	0.06245	0.00000
1	51	0.50049	0.06349	0.00000
1	52	0.48472	0.06447	0.00000
1	53	0.46895	0.06536	0.00000
1	54	0.45322	0.06618	0.00000
1	55	0.43753	0.06691	0.00000
1	56	0.42190	0.06756	0.00000
1	57	0.40634	0.06813	0.00000
1	58	0.39082	0.06859	0.00000
1	59	0.37536	0.06894	0.00000
1	60	0.36002	0.06916	0.00000
1	61	0.34482	0.06926	0.00000
1	62	0.32977	0.06922	0.00000
1	63	0.31489	0.06906	0.00000
1	64	0.30019	0.06878	0.00000
1	65	0.28570	0.06836	0.00000
1	66	0.27142	0.06783	0.00000
1	67	0.25738	0.06717	0.00000
1	68	0.24357	0.06639	0.00000
1	69	0.23003	0.06549	0.00000
1	70	0.21676	0.06447	0.00000
1	71	0.20378	0.06334	0.00000
1	72	0.19110	0.06210	0.00000
1	73	0.17873	0.06075	0.00000
1	74	0.16669	0.05930	0.00000
1	75	0.15500	0.05775	0.00000
1	76	0.14365	0.05611	0.00000
1	77	0.13266	0.05438	0.00000
1	78	0.12206	0.05257	0.00000
1	79	0.11183	0.05067	0.00000
1	80	0.10200	0.04871	0.00000
1	81	0.09258	0.04667	0.00000
1	82	0.08357	0.04458	0.00000
1	83	0.07499	0.04242	0.00000
1	84	0.06683	0.04022	0.00000
1	85	0.05912	0.03797	0.00000
1	86	0.05185	0.03569	0.00000
1	87	0.04504	0.03337	0.00000
1	88	0.03869	0.03102	0.00000
1	89	0.03281	0.02865	0.00000
1	90	0.02739	0.02626	0.00000
1	91	0.02246	0.02386	0.00000
1	92	0.01800	0.02145	0.00000
1	93	0.01403	0.01903	0.00000
1	94	0.01055	0.01662	0.00000
1	95	0.00755	0.01421	0.00000
